Date,Market Value,Year
1/7/2005,1186.19,2005
1/14/2005,1184.52,2005
1/21/2005,1167.87,2005
1/28/2005,1171.36,2005
2/4/2005,1203.03,2005
2/11/2005,1205.3,2005
2/18/2005,1201.59,2005
2/25/2005,1211.37,2005
3/4/2005,1222.12,2005
3/11/2005,1200.08,2005
3/18/2005,1189.65,2005
3/24/2005,1171.42,2005
4/1/2005,1172.92,2005
4/8/2005,1181.2,2005
4/15/2005,1142.62,2005
4/22/2005,1152.12,2005
4/29/2005,1156.85,2005
5/6/2005,1171.35,2005
5/13/2005,1154.05,2005
5/20/2005,1189.28,2005
5/27/2005,1198.78,2005
6/3/2005,1196.02,2005
6/10/2005,1198.11,2005
6/17/2005,1216.96,2005
6/24/2005,1191.57,2005
7/1/2005,1194.44,2005
7/8/2005,1211.86,2005
7/15/2005,1227.92,2005
7/22/2005,1233.68,2005
7/29/2005,1234.18,2005
8/5/2005,1226.42,2005
8/12/2005,1230.39,2005
8/19/2005,1219.71,2005
8/26/2005,1205.1,2005
9/2/2005,1218.02,2005
9/9/2005,1241.48,2005
9/16/2005,1237.91,2005
9/23/2005,1215.29,2005
9/30/2005,1228.81,2005
10/7/2005,1195.9,2005
10/14/2005,1186.57,2005
10/21/2005,1179.59,2005
10/28/2005,1198.41,2005
11/4/2005,1220.14,2005
11/11/2005,1234.72,2005
11/18/2005,1248.27,2005
11/25/2005,1268.25,2005
12/2/2005,1265.08,2005
12/9/2005,1259.36,2005
12/16/2005,1267.32,2005
12/23/2005,1268.66,2005
12/30/2005,1248.29,2005
1/6/2006,1285.45,2006
1/13/2006,1287.61,2006
1/20/2006,1261.49,2006
1/27/2006,1283.72,2006
2/3/2006,1264.03,2006
2/10/2006,1266.99,2006
2/17/2006,1287.24,2006
2/24/2006,1289.43,2006
3/3/2006,1287.23,2006
3/10/2006,1281.58,2006
3/17/2006,1307.25,2006
3/24/2006,1302.95,2006
3/31/2006,1294.83,2006
4/7/2006,1295.5,2006
4/13/2006,1289.12,2006
4/21/2006,1311.28,2006
4/28/2006,1310.61,2006
5/5/2006,1325.76,2006
5/12/2006,1291.24,2006
5/19/2006,1267.03,2006
5/26/2006,1280.16,2006
6/2/2006,1288.22,2006
6/9/2006,1252.3,2006
6/16/2006,1251.54,2006
6/23/2006,1244.5,2006
6/30/2006,1270.2,2006
7/7/2006,1265.48,2006
7/14/2006,1236.2,2006
7/21/2006,1240.29,2006
7/28/2006,1278.55,2006
8/4/2006,1279.36,2006
8/11/2006,1266.74,2006
8/18/2006,1302.3,2006
8/25/2006,1295.09,2006
9/1/2006,1311.01,2006
9/8/2006,1298.92,2006
9/15/2006,1319.87,2006
9/22/2006,1314.78,2006
9/29/2006,1335.85,2006
10/6/2006,1349.58,2006
10/13/2006,1365.62,2006
10/20/2006,1368.6,2006
10/27/2006,1377.34,2006
11/3/2006,1364.3,2006
11/10/2006,1380.9,2006
11/17/2006,1401.2,2006
11/24/2006,1400.95,2006
12/1/2006,1396.71,2006
12/8/2006,1409.84,2006
12/15/2006,1427.09,2006
12/22/2006,1410.76,2006
12/29/2006,1418.3,2006
1/5/2007,1409.71,2007
1/12/2007,1430.73,2007
1/19/2007,1430.5,2007
1/26/2007,1422.18,2007
2/2/2007,1448.39,2007
2/9/2007,1438.06,2007
2/16/2007,1455.54,2007
2/23/2007,1451.19,2007
3/2/2007,1387.17,2007
3/9/2007,1402.85,2007
3/16/2007,1386.95,2007
3/23/2007,1436.11,2007
3/30/2007,1420.86,2007
4/5/2007,1443.76,2007
4/13/2007,1452.85,2007
4/20/2007,1484.35,2007
4/27/2007,1494.07,2007
5/4/2007,1505.62,2007
5/11/2007,1505.85,2007
5/18/2007,1522.75,2007
5/25/2007,1515.73,2007
6/1/2007,1536.34,2007
6/8/2007,1507.67,2007
6/15/2007,1532.91,2007
6/22/2007,1502.56,2007
6/29/2007,1503.35,2007
7/6/2007,1525.88,2007
7/13/2007,1552.5,2007
7/20/2007,1534.1,2007
7/27/2007,1458.95,2007
8/3/2007,1433.06,2007
8/10/2007,1453.64,2007
8/17/2007,1445.94,2007
8/24/2007,1479.37,2007
8/31/2007,1473.99,2007
9/7/2007,1453.55,2007
9/14/2007,1484.25,2007
9/21/2007,1525.75,2007
9/28/2007,1526.75,2007
10/5/2007,1557.59,2007
10/12/2007,1561.8,2007
10/19/2007,1500.63,2007
10/26/2007,1535.28,2007
11/2/2007,1509.65,2007
11/9/2007,1453.7,2007
11/16/2007,1458.74,2007
11/23/2007,1440.7,2007
11/30/2007,1481.14,2007
12/7/2007,1504.66,2007
12/14/2007,1467.95,2007
12/21/2007,1484.46,2007
12/28/2007,1478.49,2007
1/4/2008,1411.63,2008
1/11/2008,1401.02,2008
1/18/2008,1325.19,2008
1/25/2008,1330.61,2008
2/1/2008,1395.42,2008
2/8/2008,1331.29,2008
2/15/2008,1349.99,2008
2/22/2008,1353.11,2008
2/29/2008,1330.63,2008
3/7/2008,1293.37,2008
3/14/2008,1288.14,2008
3/20/2008,1329.51,2008
3/28/2008,1315.22,2008
4/4/2008,1370.4,2008
4/11/2008,1332.83,2008
4/18/2008,1390.33,2008
4/25/2008,1397.84,2008
5/2/2008,1413.9,2008
5/9/2008,1388.28,2008
5/16/2008,1425.35,2008
5/23/2008,1375.93,2008
5/30/2008,1400.38,2008
6/6/2008,1360.68,2008
6/13/2008,1357.5,2008
6/20/2008,1317.93,2008
6/27/2008,1278.38,2008
7/3/2008,1262.9,2008
7/11/2008,1239.49,2008
7/18/2008,1260.68,2008
7/25/2008,1257.76,2008
8/1/2008,1260.31,2008
8/8/2008,1296.31,2008
8/15/2008,1298.19,2008
8/22/2008,1292.19,2008
8/29/2008,1282.82,2008
9/5/2008,1242.31,2008
9/12/2008,1251.69,2008
9/19/2008,1255.07,2008
9/26/2008,1213.27,2008
10/3/2008,1099.23,2008
10/10/2008,899.22,2008
10/17/2008,940.55,2008
10/24/2008,876.77,2008
10/31/2008,968.75,2008
11/7/2008,930.99,2008
11/14/2008,873.29,2008
11/21/2008,800.03,2008
11/28/2008,896.24,2008
12/5/2008,876.07,2008
12/12/2008,879.73,2008
12/19/2008,887.88,2008
12/26/2008,872.8,2008
1/2/2009,931.8,2009
1/9/2009,890.35,2009
1/16/2009,850.12,2009
1/23/2009,831.95,2009
1/30/2009,825.88,2009
2/6/2009,868.6,2009
2/13/2009,826.84,2009
2/20/2009,770.05,2009
2/27/2009,735.09,2009
3/6/2009,683.38,2009
3/13/2009,756.55,2009
3/20/2009,768.54,2009
3/27/2009,815.94,2009
4/3/2009,842.5,2009
4/9/2009,856.56,2009
4/17/2009,869.6,2009
4/24/2009,866.23,2009
5/1/2009,877.52,2009
5/8/2009,929.23,2009
5/15/2009,882.88,2009
5/22/2009,887,2009
5/29/2009,919.14,2009
6/5/2009,940.09,2009
6/12/2009,946.21,2009
6/19/2009,921.23,2009
6/26/2009,918.9,2009
7/10/2009,879.13,2009
7/17/2009,940.38,2009
7/24/2009,979.26,2009
7/31/2009,987.48,2009
8/7/2009,1010.48,2009
8/14/2009,1004.09,2009
8/21/2009,1026.13,2009
8/28/2009,1028.93,2009
9/4/2009,1016.4,2009
9/11/2009,1042.73,2009
9/18/2009,1068.3,2009
9/25/2009,1044.38,2009
10/2/2009,1025.21,2009
10/9/2009,1071.49,2009
10/16/2009,1087.68,2009
10/23/2009,1079.6,2009
10/30/2009,1036.18,2009
11/6/2009,1069.3,2009
11/13/2009,1093.48,2009
11/20/2009,1091.38,2009
11/27/2009,1091.49,2009
12/4/2009,1105.98,2009
12/11/2009,1106.41,2009
12/18/2009,1102.47,2009
1/8/2010,1144.98,2010
1/15/2010,1136.03,2010
1/22/2010,1091.76,2010
1/29/2010,1073.87,2010
2/5/2010,1066.18,2010
2/12/2010,1075.51,2010
2/19/2010,1109.17,2010
2/26/2010,1104.49,2010
3/5/2010,1138.69,2010
3/12/2010,1149.99,2010
3/19/2010,1159.9,2010
3/26/2010,1166.59,2010
4/9/2010,1194.37,2010
4/16/2010,1192.13,2010
4/23/2010,1217.28,2010
4/30/2010,1186.68,2010
5/7/2010,1110.88,2010
5/14/2010,1135.68,2010
5/21/2010,1087.69,2010
5/28/2010,1089.41,2010
6/4/2010,1064.88,2010
6/11/2010,1091.6,2010
6/18/2010,1117.51,2010
6/25/2010,1076.76,2010
7/2/2010,1022.58,2010
7/9/2010,1077.96,2010
7/16/2010,1064.88,2010
7/23/2010,1102.66,2010
7/30/2010,1101.6,2010
8/6/2010,1121.64,2010
8/13/2010,1079.25,2010
8/20/2010,1071.69,2010
8/27/2010,1064.59,2010
9/3/2010,1104.51,2010
9/10/2010,1109.55,2010
9/17/2010,1125.59,2010
9/24/2010,1148.67,2010
10/1/2010,1146.24,2010
10/8/2010,1165.15,2010
10/15/2010,1176.19,2010
10/22/2010,1183.08,2010
10/29/2010,1183.26,2010
11/5/2010,1225.85,2010
11/12/2010,1199.21,2010
11/19/2010,1199.73,2010
11/26/2010,1189.4,2010
12/3/2010,1224.71,2010
12/10/2010,1240.4,2010
12/17/2010,1243.91,2010
12/23/2010,1256.77,2010
12/31/2010,1257.64,2010
1/7/2011,1271.5,2011
1/14/2011,1293.24,2011
1/21/2011,1283.35,2011
1/28/2011,1276.34,2011
2/4/2011,1310.87,2011
2/11/2011,1329.15,2011
2/18/2011,1343.01,2011
2/25/2011,1319.88,2011
3/4/2011,1321.15,2011
3/11/2011,1304.28,2011
3/18/2011,1279.2,2011
3/25/2011,1313.8,2011
4/1/2011,1332.41,2011
4/8/2011,1328.17,2011
4/15/2011,1319.68,2011
4/21/2011,1337.38,2011
4/29/2011,1363.61,2011
5/6/2011,1340.2,2011
5/13/2011,1337.77,2011
5/20/2011,1333.27,2011
5/27/2011,1331.1,2011
6/3/2011,1300.16,2011
6/10/2011,1270.98,2011
6/17/2011,1271.5,2011
6/24/2011,1268.45,2011
7/1/2011,1339.67,2011
7/8/2011,1343.8,2011
7/15/2011,1316.14,2011
7/22/2011,1345.02,2011
7/29/2011,1292.28,2011
8/5/2011,1199.38,2011
8/12/2011,1178.81,2011
8/19/2011,1123.53,2011
8/26/2011,1176.8,2011
9/2/2011,1173.97,2011
9/9/2011,1154.23,2011
9/16/2011,1216.01,2011
9/23/2011,1136.43,2011
9/30/2011,1131.42,2011
10/7/2011,1155.46,2011
10/14/2011,1224.58,2011
10/21/2011,1238.25,2011
10/28/2011,1285.08,2011
11/4/2011,1253.23,2011
11/11/2011,1263.85,2011
11/18/2011,1215.65,2011
11/25/2011,1158.67,2011
12/2/2011,1244.28,2011
12/9/2011,1255.19,2011
12/16/2011,1219.66,2011
12/23/2011,1265.33,2011
12/30/2011,1257.6,2011
1/6/2012,1277.81,2012
1/13/2012,1289.09,2012
1/20/2012,1315.38,2012
1/27/2012,1316.33,2012
2/3/2012,1344.9,2012
2/10/2012,1342.64,2012
2/17/2012,1361.23,2012
2/24/2012,1365.74,2012
3/2/2012,1369.63,2012
3/9/2012,1370.87,2012
3/16/2012,1404.17,2012
3/23/2012,1397.11,2012
3/30/2012,1408.47,2012
4/5/2012,1398.08,2012
4/13/2012,1370.26,2012
4/20/2012,1378.53,2012
4/27/2012,1403.36,2012
5/4/2012,1369.1,2012
5/11/2012,1353.39,2012
5/18/2012,1295.22,2012
5/25/2012,1317.82,2012
6/1/2012,1278.04,2012
6/8/2012,1325.66,2012
6/15/2012,1342.84,2012
6/22/2012,1335.02,2012
6/29/2012,1362.16,2012
7/6/2012,1354.68,2012
7/13/2012,1356.78,2012
7/20/2012,1362.66,2012
7/27/2012,1385.97,2012
8/3/2012,1390.99,2012
8/10/2012,1405.87,2012
8/17/2012,1418.16,2012
8/24/2012,1411.13,2012
8/31/2012,1406.58,2012
9/7/2012,1437.92,2012
9/14/2012,1465.77,2012
9/21/2012,1460.15,2012
9/28/2012,1440.67,2012
10/5/2012,1460.93,2012
10/12/2012,1428.59,2012
10/19/2012,1433.19,2012
10/26/2012,1411.94,2012
11/2/2012,1414.2,2012
11/9/2012,1379.85,2012
11/16/2012,1359.88,2012
11/23/2012,1409.15,2012
11/30/2012,1416.18,2012
12/7/2012,1418.07,2012
12/14/2012,1413.58,2012
12/21/2012,1430.15,2012
12/28/2012,1402.43,2012
1/4/2013,1466.47,2013
1/11/2013,1472.05,2013
1/18/2013,1485.98,2013
1/25/2013,1502.96,2013
2/1/2013,1513.17,2013
2/8/2013,1517.93,2013
2/15/2013,1519.79,2013
2/22/2013,1515.6,2013
3/1/2013,1518.2,2013
3/8/2013,1551.18,2013
3/15/2013,1560.7,2013
3/22/2013,1556.89,2013
3/28/2013,1569.19,2013
4/5/2013,1553.28,2013
4/12/2013,1588.85,2013
4/19/2013,1555.25,2013
4/26/2013,1582.24,2013
5/3/2013,1614.42,2013
5/10/2013,1633.7,2013
5/17/2013,1667.47,2013
5/24/2013,1649.6,2013
5/31/2013,1630.74,2013
6/7/2013,1643.38,2013
6/14/2013,1626.73,2013
6/21/2013,1592.43,2013
6/28/2013,1606.28,2013
7/5/2013,1631.89,2013
7/12/2013,1680.19,2013
7/19/2013,1692.09,2013
7/26/2013,1691.65,2013
8/2/2013,1709.67,2013
8/9/2013,1691.42,2013
8/16/2013,1655.83,2013
8/23/2013,1663.5,2013
8/30/2013,1632.97,2013
9/6/2013,1655.17,2013
9/13/2013,1687.99,2013
9/20/2013,1709.91,2013
9/27/2013,1691.75,2013
10/4/2013,1690.5,2013
10/11/2013,1703.2,2013
10/18/2013,1744.5,2013
10/25/2013,1759.77,2013
11/1/2013,1761.64,2013
11/8/2013,1770.61,2013
11/15/2013,1798.18,2013
11/22/2013,1804.76,2013
11/29/2013,1805.81,2013
12/6/2013,1805.09,2013
12/13/2013,1775.32,2013
12/20/2013,1818.32,2013
12/27/2013,1841.4,2013
1/3/2014,1831.37,2014
1/10/2014,1842.37,2014
1/17/2014,1838.7,2014
1/24/2014,1790.29,2014
1/31/2014,1782.59,2014
2/7/2014,1797.02,2014
2/14/2014,1838.63,2014
2/21/2014,1836.25,2014
2/28/2014,1859.45,2014
3/7/2014,1878.04,2014
3/14/2014,1841.13,2014
3/21/2014,1866.52,2014
3/28/2014,1857.62,2014
4/4/2014,1865.09,2014
4/11/2014,1815.69,2014
4/17/2014,1864.85,2014
4/25/2014,1863.4,2014
5/2/2014,1881.14,2014
5/9/2014,1878.48,2014
5/16/2014,1877.86,2014
5/23/2014,1900.53,2014
5/30/2014,1923.57,2014
6/6/2014,1949.44,2014
6/13/2014,1936.16,2014
6/20/2014,1962.87,2014
6/27/2014,1960.96,2014
7/3/2014,1985.44,2014
7/11/2014,1967.57,2014
7/18/2014,1978.22,2014
7/25/2014,1978.34,2014
8/1/2014,1925.15,2014
8/8/2014,1931.59,2014
8/15/2014,1955.06,2014
8/22/2014,1988.4,2014
8/29/2014,2003.37,2014
9/5/2014,2007.71,2014
9/12/2014,1985.54,2014
9/19/2014,2010.4,2014
9/26/2014,1982.85,2014
10/3/2014,1967.9,2014
10/10/2014,1906.13,2014
10/17/2014,1886.76,2014
10/24/2014,1964.58,2014
10/31/2014,2018.05,2014
11/7/2014,2031.92,2014
11/14/2014,2039.82,2014
11/21/2014,2063.5,2014
11/28/2014,2067.56,2014
12/5/2014,2075.37,2014
12/12/2014,2002.33,2014
12/19/2014,2070.65,2014
12/26/2014,2088.77,2014
1/2/2015,2058.2,2015
1/9/2015,2044.81,2015
1/16/2015,2019.42,2015
1/23/2015,2051.82,2015
1/30/2015,1994.99,2015
2/6/2015,2055.47,2015
2/13/2015,2096.99,2015
2/20/2015,2110.3,2015
2/27/2015,2104.5,2015
3/6/2015,2071.26,2015
3/13/2015,2053.4,2015
3/20/2015,2108.1,2015
3/27/2015,2061.02,2015
4/2/2015,2066.96,2015
4/10/2015,2102.06,2015
4/17/2015,2081.18,2015
4/24/2015,2117.69,2015
5/1/2015,2108.29,2015
5/8/2015,2116.1,2015
5/15/2015,2122.73,2015
5/22/2015,2126.06,2015
5/29/2015,2107.39,2015
6/5/2015,2092.83,2015
6/12/2015,2094.11,2015
6/19/2015,2109.99,2015
6/26/2015,2101.49,2015
7/2/2015,2076.78,2015
7/10/2015,2076.62,2015
7/17/2015,2126.64,2015
7/24/2015,2079.65,2015
7/31/2015,2103.84,2015
8/7/2015,2077.57,2015
8/14/2015,2091.54,2015
8/21/2015,1970.89,2015
8/28/2015,1988.87,2015
9/4/2015,1921.22,2015
9/11/2015,1961.05,2015
9/18/2015,1958.08,2015
9/25/2015,1931.34,2015
10/2/2015,1951.36,2015
10/9/2015,2014.89,2015
10/16/2015,2033.11,2015
10/23/2015,2075.15,2015
10/30/2015,2079.36,2015
11/6/2015,2099.2,2015
11/13/2015,2023.04,2015
11/20/2015,2089.17,2015
11/27/2015,2090.11,2015
12/4/2015,2091.69,2015
12/11/2015,2012.37,2015
12/18/2015,2005.55,2015
12/24/2015,2060.99,2015
12/31/2015,2043.94,2015
